sku,warehouse,stock,as_of
KBL-001,Главный,17331,2026-09-01
KBL-002,Главный,5192,2026-09-01
KBL-003,Главный,2652,2026-09-01
KBL-004,Главный,53877,2026-09-01
KBL-005,Главный,33929,2026-09-01
KBL-005,Филиал Алматы,10247,2026-09-01
KBL-006,Главный,8870,2026-09-01
KBL-007,Главный,67293,2026-09-01
KBL-007,Филиал Алматы,5310,2026-09-01
KBL-008,Главный,23314,2026-09-01
KBL-009,Главный,30361,2026-09-01
KBL-010,Главный,2038,2026-09-01
KBL-011,Главный,6083,2026-09-01
KBL-012,Главный,280113,2026-09-01
KBL-012,Филиал Алматы,71997,2026-09-01
LMP-001,Главный,1067,2026-09-01
LMP-002,Главный,502,2026-09-01
LMP-002,Филиал Алматы,170,2026-09-01
LMP-003,Главный,268,2026-09-01
LMP-004,Главный,301,2026-09-01
LMP-005,Главный,981,2026-09-01
LMP-006,Главный,19,2026-09-01
LMP-007,Главный,1805,2026-09-01
LMP-008,Главный,143,2026-09-01
LMP-008,Филиал Алматы,68,2026-09-01
LMP-009,Главный,76,2026-09-01
LMP-010,Главный,134,2026-09-01
LMP-011,Главный,246,2026-09-01
LMP-011,Филиал Алматы,59,2026-09-01
LMP-012,Главный,357,2026-09-01
LMP-012,Филиал Алматы,22,2026-09-01
AUT-001,Главный,66,2026-09-01
AUT-002,Главный,582,2026-09-01
AUT-002,Филиал Алматы,544,2026-09-01
AUT-003,Главный,2067,2026-09-01
AUT-004,Главный,133,2026-09-01
AUT-004,Филиал Алматы,13,2026-09-01
AUT-005,Главный,41,2026-09-01
AUT-005,Филиал Алматы,84,2026-09-01
AUT-006,Главный,446,2026-09-01
AUT-007,Главный,180,2026-09-01
AUT-008,Главный,120,2026-09-01
AUT-009,Главный,123,2026-09-01
AUT-010,Главный,357,2026-09-01
AUT-011,Главный,1036,2026-09-01
AUT-012,Главный,307,2026-09-01
AUT-012,Филиал Алматы,74,2026-09-01
SCK-001,Главный,460,2026-09-01
SCK-002,Главный,234,2026-09-01
SCK-003,Главный,114,2026-09-01
SCK-003,Филиал Алматы,54,2026-09-01
SCK-004,Главный,42,2026-09-01
SCK-004,Филиал Алматы,59,2026-09-01
SCK-005,Главный,59,2026-09-01
SCK-006,Главный,193,2026-09-01
SCK-006,Филиал Алматы,104,2026-09-01
SCK-007,Главный,227,2026-09-01
SCK-007,Филиал Алматы,12,2026-09-01
SCK-008,Главный,285,2026-09-01
SCK-008,Филиал Алматы,30,2026-09-01
SCK-009,Главный,282,2026-09-01
SCK-010,Главный,984,2026-09-01
SCK-010,Филиал Алматы,430,2026-09-01
SCK-011,Главный,935,2026-09-01
SCK-011,Филиал Алматы,66,2026-09-01
SCK-012,Главный,190,2026-09-01
SCK-012,Филиал Алматы,164,2026-09-01
BOX-001,Главный,194,2026-09-01
BOX-001,Филиал Алматы,54,2026-09-01
BOX-002,Главный,127,2026-09-01
BOX-002,Филиал Алматы,190,2026-09-01
BOX-003,Главный,862,2026-09-01
BOX-004,Главный,111,2026-09-01
BOX-004,Филиал Алматы,27,2026-09-01
BOX-005,Главный,161,2026-09-01
BOX-006,Главный,147,2026-09-01
BOX-006,Филиал Алматы,41,2026-09-01
BOX-007,Главный,90,2026-09-01
BOX-007,Филиал Алматы,17,2026-09-01
BOX-008,Главный,296,2026-09-01
BOX-009,Главный,589,2026-09-01
BOX-009,Филиал Алматы,76,2026-09-01
BOX-010,Главный,655,2026-09-01
BOX-011,Главный,2059,2026-09-01
BOX-012,Главный,258,2026-09-01
TLS-001,Главный,905,2026-09-01
TLS-002,Главный,1449,2026-09-01
TLS-002,Филиал Алматы,314,2026-09-01
TLS-003,Главный,356,2026-09-01
TLS-004,Главный,304,2026-09-01
TLS-004,Филиал Алматы,37,2026-09-01
TLS-005,Главный,391,2026-09-01
TLS-006,Главный,270,2026-09-01
TLS-006,Филиал Алматы,75,2026-09-01
TLS-007,Главный,214,2026-09-01
TLS-008,Главный,169,2026-09-01
TLS-009,Главный,132,2026-09-01
TLS-009,Филиал Алматы,40,2026-09-01
TLS-010,Главный,67,2026-09-01
TLS-010,Филиал Алматы,98,2026-09-01
TLS-011,Главный,22,2026-09-01
TLS-012,Главный,176,2026-09-01
