sku,warehouse,date_from,date_to
BOX-009,Главный,2025-12-07,2025-12-13
BOX-009,Главный,2025-04-16,2025-04-20
BOX-008,Главный,2025-07-30,2025-08-07
KBL-007,Главный,2025-07-20,2025-07-30
TLS-003,Главный,2025-05-31,2025-06-07
TLS-005,Главный,2025-06-18,2025-06-29
TLS-005,Главный,2025-05-24,2025-06-01
KBL-004,Главный,2025-02-23,2025-03-05
KBL-008,Главный,2025-05-05,2025-05-16
AUT-009,Главный,2025-12-26,2026-01-08
AUT-009,Главный,2026-04-21,2026-04-29
TLS-012,Главный,2025-05-25,2025-06-02
TLS-012,Главный,2025-10-02,2025-10-15
AUT-004,Главный,2025-09-03,2025-09-13
AUT-004,Главный,2025-03-07,2025-03-19
TLS-010,Главный,2025-10-01,2025-10-12
TLS-010,Главный,2025-12-03,2025-12-07
BOX-001,Главный,2025-02-19,2025-03-02
